私
あたし
うち 
わ 
ぼかぁ
自分
あたくし	
己等	
わー	
わたしゃ
僕	
あたい	
俺ら	
ぼくちゃん	
あたしゃ
俺	
わえ	
おい	
ぼくちん	
わたしゃ
俺様	
わて	
おいどん	
おれっち	
おらぁ
儂	
わい	
うら	
おりゃぁ	
ミー
